wkt_geom	CODE	HEIGHT	X_ETRS	Y_ETRS	UP	X	Y
Point (105600.00028309662593529 425899.97368658537743613)	DORDT	52.83400817	615152.3355	5742285.493	0	105600.00028	425899.97369
Point (137480.02967617020476609 445019.99021126644220203)	HAGSBNDN	116.0890773	646384.5906	5762438.545	1	137480.02968	445019.99021
Point (102799.95429514639545232 433850.0430326948990114)	KRIMPADLK	33.35723129	612093.7553	5750138.056	1	102799.9543	433850.04303
Point (118150.0168107743083965 439540.04041828180197626)	SCHOONHVN	58.15406789	627246.5462	5756327.603	1	118150.01681	439540.04042
Point (129440.06881739475647919 426009.98097254242748022)	VURN	112.0157431	638972.8526	5743176.418	0	129440.06882	426009.98097
Point (156160.03115572655224241 442900.00521882023895159)	AMRGBNDN	373.5500856	665123.8265	5760932.88	1	156160.03116	442900.00522
Point (156680.03139745979569852 443050.0060939765535295)	AMRGBVN	580.1506836	665638.635	5761099.87	1	156680.0314	443050.00609
Point (191060.0005837825301569 443130.01745352352736518)	ARNHM	862.2032069	700000.7768	5762308.246	1	191060.00058	443130.01745
Point (143300.04292162656201981 441449.99414414132479578)	CULBBG	304.7185706	652318.3918	5759061.635	1	143300.04292	441449.99414
Point (171745.99783623820985667 434695.00844568741740659)	DODWD	628.821587	680971.417	5753243.136	0	171745.99784	434695.00845
Point (183550.00105403384077363 441700.04329802305437624)	DRIELBNDN	731.7802666	692540.6021	5760632.323	1	183550.00105	441700.0433
Point (184100.00121220774599351 442020.04130642191739753)	DRIELBVN	799.2761339	693079.8804	5760970.244	1	184100.00121	442020.04131
Point (169060.00114164262777194 440260.01053116918774322)	GREBBE	633.0010279	678104.128	5758717.49	1	169060.00114	440260.01053
Point (168928.86491995153483003 440124.31576052424497902)	GREB	625	677977.5041	5758577.556	1	168928.86492	440124.31576
Point (199239.99920856687822379 433510.05758095969213173)	GROENRVPBN	1202.047012	708493.4601	5752959.928	1	199239.99921	433510.05758
Point (199259.99930997446062975 433470.05786684900522232)	GROENRVPBVN	1172.884288	708514.7647	5752920.597	0	199259.99931	433470.05787
Point (137740.03107729746261612 444639.9914310579188168)	HAGSBVN	286.5240513	646656.9117	5762067.305	1	137740.03108	444639.99143
Point (194538.29092210013186559 438474.07545462448615581)	HUISSLVR	906.9618335	703630.585	5757768.097	1	194538.29092	438474.07545
Point (193799.99897041916847229 440470.02479750302154571)	IJSSKP	908.0743116	702827.0764	5759739.128	1	193799.99897	440470.0248
