tid,slope,roughness,bed_level_x,aspect,bed_level_y,change,change_norm,predicted_target_norm,predicted_target
35205,3.5281,0.0036,7.4264,35.2078,7.5726,0.14620000000000033,1.5201345190265667,-0.048873305,0.017042544
35206,1.5114,0.0019,7.2192,24.8492,7.2341,0.014899999999999913,-0.07490096503670167,0.17464614,0.0354422
35207,0.8041,0.001,7.1427,22.14,7.1514,0.008700000000000152,-0.15021871066649492,0.40902537,0.05473581
35208,1.0311,0.0016,7.0811,19.744,7.0955,0.01440000000000019,-0.0809749767810367,0.2794363,0.044068307
35209,3.5795,0.0036,6.889,29.7477,6.925,0.03599999999999959,0.1814223305743748,-0.011620656,0.020109104
35210,3.6123,0.0033,6.8349,26.2158,6.8545,0.019599999999999618,-0.017805254639924314,0.006907001,0.021634262
35211,2.5001,0.0022,6.7054,33.5084,6.757,0.051599999999999646,0.37093149699773353,0.107556656,0.029919531
35212,1.2407,0.0015,6.638,59.0225,6.6917,0.05370000000000008,0.39644234632396014,0.29543513,0.045385297
35213,2.369,0.0021,6.6024,185.223,6.6578,0.05539999999999967,0.41709398625470573,-0.034828044,0.01819872
35214,2.2019,0.0021,6.6993,226.284,6.702,0.0026999999999999247,-0.22310685159855848,-0.023729444,0.019112334
35215,1.6863,0.0014,6.7324,182.794,6.7185,-0.013900000000000468,-0.42476404151059804,0.100957945,0.02937634
35216,3.5023,0.0044,6.7906,195.533,6.8012,0.010599999999999277,-0.12713746603801965,-0.16552594,0.0074399402
35217,2.5132,0.0025,7.5029,34.9678,7.7365,0.23360000000000003,2.5818717719369153,0.043744043,0.02466661
35218,2.0386,0.0023,7.3053,24.6454,7.3621,0.05679999999999996,0.4341012191388568,0.08521326,0.02808027
35219,0.9806,0.0012,7.1911,15.4148,7.2077,0.016600000000000392,-0.054249325105945295,0.34518254,0.0494804
35220,0.8385,0.0009,7.1196,16.5753,7.1387,0.019099999999999895,-0.023879266384259346,0.41561496,0.055278253
35221,2.7267,0.003,7.0164,31.3512,7.03,0.013600000000000279,-0.09069339557197707,0.03316763,0.023795981
35222,4.3832,0.0041,6.9048,36.7052,6.9293,0.024499999999999744,0.04172006045459353,-0.05811119,0.0162821
35223,3.6981,0.0031,6.7309,25.5704,6.7695,0.038599999999999746,0.2130071916449364,0.023200303,0.022975491
35224,2.7006,0.0025,6.6301,16.2708,6.7099,0.07980000000000054,0.7135057593784301,0.08431256,0.028006125
35225,3.0163,0.0023,6.5234,87.2406,6.6218,0.09840000000000071,0.9394589962678206,0.09505308,0.028890263
35226,2.7157,0.0029,6.6362,195.461,6.6744,0.03820000000000068,0.208147982249477,-0.0789725,0.014564839
35227,2.8656,0.0027,6.7571,209.407,6.7195,-0.0376000000000003,-0.712672198192236,-0.080460295,0.0144423675
35228,2.4891,0.0023,6.7231,194.829,6.7215,-0.0015999999999998238,-0.27534335259986564,-0.057060562,0.016368585
35229,9.3812,0.0109,6.9628,250.599,6.9661,0.0033000000000003027,-0.21581803750534778,-0.5851964,-0.027106455
35230,4.1375,0.0041,7.4861,36.1009,7.6467,0.16059999999999963,1.6950660572635041,-0.09602989,0.01316071
35231,2.0276,0.0025,7.2196,28.2113,7.2351,0.015500000000000291,-0.067612150943491,0.076951206,0.027400155
35232,0.9849,0.0012,7.1359,34.2694,7.1516,0.015699999999999825,-0.06518254624576131,0.36842442,0.051393624
35233,0.9626,0.0016,7.0695,19.1922,7.0948,0.025300000000000544,0.05143847924554469,0.2872104,0.044708256
35234,4.5435,0.0041,6.8522,36.3976,6.9128,0.06059999999999999,0.48026370839582894,-0.05825387,0.016270354
35235,1.8207,0.0016,6.6997,6.1194,6.7205,0.020800000000000374,-0.0032276264535029725,0.17736767,0.03566623
35236,1.3807,0.0012,6.6628,14.8122,6.7178,0.055000000000000604,0.41223477685924637,0.30842412,0.046454523
35237,1.7316,0.0014,6.6122,41.5115,6.6415,0.029300000000000104,0.10003057320024653,0.26186132,0.04262157
35238,1.3292,0.0012,6.6534,18.3249,6.6972,0.04379999999999917,0.2761769137860488,0.31897724,0.047323234
35239,1.1871,0.0011,6.5998,1.1401,6.6359,0.03610000000000024,0.18263713292325043,0.33342475,0.048512522
35240,2.6312,0.0023,6.6486,216.777,6.6549,0.006299999999999528,-0.17937396703932681,-0.04071045,0.017714493
35241,2.0087,0.0015,6.7569,189.716,6.7356,-0.021300000000000097,-0.5146594153268018,0.041715667,0.024499638
35242,3.2354,0.0038,6.7836,198.237,6.7923,0.008700000000000152,-0.15021871066649492,-0.13751735,0.009745549
35243,3.2632,0.0036,7.3244,34.8912,7.377,0.05259999999999998,0.38307952048641447,-0.03463243,0.018214822
35244,1.0624,0.0014,7.1763,19.8028,7.1839,0.007600000000000051,-0.16358153650404061,0.30732477,0.046364028
35245,0.8331,0.0009,7.1079,18.4812,7.1267,0.018799999999999706,-0.027523673430864683,0.41879654,0.055540152
35246,2.9641,0.0033,7.0125,25.0386,7.0305,0.017999999999999794,-0.03724209222180505,0.009146601,0.021818621
35247,3.6366,0.0033,6.73,16.6942,6.7834,0.05339999999999989,0.3927979392773548,0.010762379,0.021951629
35248,1.8727,0.0015,6.711,9.8767,6.742,0.030999999999999694,0.12068221313099212,0.19223307,0.03688992
35249,2.3802,0.0022,6.7712,5.0177,6.7781,0.006899999999999906,-0.17208515294611615,0.102042034,0.02946558
35250,1.9397,0.0016,6.691,27.709,6.7469,0.05590000000000028,0.4231679979990516,0.18915574,0.0366366
35251,1.4039,0.0013,6.6221,35.0081,6.662,0.03990000000000027,0.2287996221802226,0.31048983,0.046624567
35252,1.5839,0.0015,6.616,225.361,6.6553,0.03930000000000078,0.2215108080870227,0.084489465,0.02802069
35253,2.4625,0.0022,6.7274,213.569,6.6965,-0.030899999999999928,-0.631280440818097,-0.04652074,0.017236201
35254,2.525,0.0019,6.7519,185.022,6.7458,-0.006099999999999994,-0.3300094582989133,-0.029915407,0.018603118
35255,7.6105,0.0091,6.9598,207.458,6.96,0.00019999999999953388,-0.2534769103202552,-0.48798364,-0.019104106
35256,1.4412,0.0021,7.049,20.0538,7.0773,0.02829999999999977,0.08788254971156567,0.14882547,0.033316694
35257,4.1595,0.0038,6.8146,35.0246,6.9013,0.08669999999999956,0.7973271214502881,-0.029627547,0.018626813
35258,2.342,0.0017,6.7092,6.505,6.7266,0.017400000000000304,-0.04453090631500493,0.14241919,0.032789342
35259,1.5819,0.0014,6.6579,0.0292,6.7092,0.051300000000000345,0.367287089951139,0.2331863,0.040261105
35260,1.2249,0.0009,6.6016,17.0894,6.6333,0.03169999999999984,0.12918582957306762,0.37937808,0.052295305
35261,2.3461,0.0021,6.5841,227.605,6.6141,0.02999999999999936,0.10853418964231125,-0.013098523,0.019987449
35262,2.6175,0.0027,6.7013,200.895,6.7075,0.006199999999999761,-0.18058876938819166,-0.074774265,0.01491043
35263,3.3395,0.0024,6.8162,187.568,6.8065,-0.009700000000000486,-0.3737423428581557,-0.06890483,0.01539359
