scid,water_level
6,552.058
47,75.581
8,103.767
43,971.235
13,292.045
14,783.582
4,301.195
24,1155.212
25,590.562
12,603.696
32,841.749
48,112.432
45,421.986
49,62.745
44,305.693
46,110.119
3,97.021
15,270.746
2,99.416
41,676.539
26,440.005
22,347.631
42,929.353
27,473.873
16,300.207
21,129.165
35,361.479
1,637.211
17,89.572
7,637.89
28,93.53
34,109.384
36,615.135
40,80.939
10,136.422
38,451.963
37,1138.409
5,880.822
30,360.268
18,105.728
19,391.925
9,155.338
11,92.991
20,375.126
23,475.659
33,1132.738
29,812.283
31,859.523
39,107.42
